days,Asia,Europe,Americas,Africa,Oceania
0,509.0,,1.0,,
1,604.0,,1.0,,0.0
2,875.0,2.0,2.0,,
3,1348.0,3.0,2.0,,4.0
4,1997.0,3.0,6.0,,4.0
5,2769.0,3.0,6.0,1.0,5.0
6,5320.0,8.0,7.0,,5.0
7,5884.0,10.0,7.0,,5.0
8,7896.0,10.0,8.0,,7.0
9,9644.0,39.0,9.0,,7.0
10,11429.0,95.0,154.0,,62.0
11,15931.0,10.0,,,34.0
12,18704.0,48.0,108.0,,
13,22609.0,13.0,42.0,,6.0
14,25873.0,,31.0,,
15,28640.0,,,,18.0
16,31513.0,77.0,40.0,,10.0
17,33569.0,44.0,,,
18,35944.0,40.0,0.0,,60.0
19,37493.0,16.0,,,
20,38749.0,32.0,2.0,,
21,38721.0,59.0,0.0,,
22,52616.0,75.0,42.0,,0.0
23,56936.0,,,7.0,
24,57607.0,70.0,,,
25,58155.0,8.0,,,
26,58342.0,0.0,20.0,,0.0
27,58156.0,12.0,,,
28,56758.0,,,,
29,55025.0,,,,
30,55110.0,27.0,87.0,7.0,36.0
31,52418.0,59.0,36.0,,35.0
32,52294.0,150.0,,,
33,50685.0,236.0,39.0,,
34,48688.0,325.0,50.0,6.0,
35,47097.0,484.0,87.0,,
36,45240.0,731.0,38.0,,16.0
37,42733.0,991.0,139.0,10.0,5.0
38,41120.0,1345.0,46.0,,36.0
39,39755.0,2110.0,46.0,4.0,8.0
40,38572.0,2459.0,447.0,5.0,16.0
41,37475.0,3062.0,172.0,9.0,29.0
42,35826.0,3956.0,109.0,44.0,54.0
43,34554.0,5122.0,256.0,13.0,29.0
44,34634.0,6792.0,310.0,67.0,50.0
45,34051.0,8712.0,478.0,4.0,51.0
46,32899.0,11210.0,783.0,91.0,51.0
47,31495.0,13421.0,386.0,86.0,52.0
48,31091.0,16815.0,1039.0,72.0,76.0
